expected,predicted,confidence,correct
N,N,0.9978,1
Q,Q,0.9924,1
w,w,0.8118,1
e,e,0.9998,1
H,H,0.9931,1
s,5,0.6422,0
H,H,0.9833,1
W,W,0.9649,1
h,h,0.9965,1
w,w,0.6713,1
T,T,0.954,1
b,b,0.7308,1
p,e,0.9391,0
0,0,0.8202,1
l,1,0.5879,0
Q,a,0.754,0
d,d,0.9998,1
b,b,0.9851,1
U,U,0.6358,1
M,M,0.722,1
g,g,0.5853,1
X,X,0.7867,1
x,x,0.8643,1
6,6,0.9996,1
b,b,0.5775,1
U,U,0.7599,1
X,X,0.8576,1
p,p,0.5967,1
M,M,0.7169,1
l,1,0.5596,0
B,B,0.9919,1
s,S,0.8329,0
W,w,0.779,0
q,g,0.4105,0
Q,Q,0.9349,1
B,B,0.9986,1
K,K,0.8185,1
A,A,0.972,1
A,A,0.9882,1
M,M,0.7464,1
4,4,0.9999,1
X,X,0.6963,1
B,B,0.5418,1
z,7,0.2355,0
g,9,0.6632,0
L,L,0.9929,1
z,z,0.4757,1
N,N,0.9601,1
N,N,0.9795,1
Q,Q,0.9789,1
D,D,0.989,1
i,1,0.4145,0
m,M,0.727,0
N,N,0.9677,1
h,h,0.9998,1
s,S,0.8378,0
k,K,0.6248,0
4,4,0.9894,1
u,U,0.5916,0
G,G,0.954,1
v,v,0.5947,1
o,0,0.5538,0
D,0,0.5087,0
Z,z,0.8323,0
p,P,0.7914,0
n,n,0.8757,1
S,S,0.8348,1
m,M,0.7906,0
H,H,0.9978,1
J,J,0.9966,1
9,9,0.9532,1
Z,z,0.599,0
7,7,0.9838,1
S,5,0.6004,0
L,L,0.9458,1
a,a,0.9876,1
2,2,0.9951,1
O,O,0.5279,1
K,K,0.612,1
8,8,1.0,1
Y,Y,0.9287,1
H,H,0.9946,1
i,I,0.2857,0
a,a,0.8402,1
3,3,0.9689,1
i,I,0.6609,0
U,U,0.7809,1
y,U,0.4263,0
x,x,0.5023,1
s,S,0.8642,0
k,k,0.6614,1
9,9,0.9478,1
v,V,0.6645,0
j,j,0.9504,1
e,e,0.9998,1
k,k,0.4529,1
b,b,0.8879,1
D,D,0.9998,1
N,N,0.9476,1
i,I,0.433,0
I,1,0.5577,0
M,M,0.9488,1
2,2,0.9941,1
N,N,0.9163,1
I,I,0.6062,1
2,2,1.0,1
k,k,0.9807,1
z,z,0.7304,1
D,D,0.9991,1
e,e,1.0,1
a,a,0.9999,1
Y,Y,0.8282,1
e,e,0.9991,1
v,v,0.4573,1
e,e,0.9988,1
f,F,0.9137,0
k,k,0.7942,1
y,y,0.6769,1
F,F,0.7386,1
B,B,0.8447,1
d,d,0.9999,1
0,0,0.8475,1
T,T,0.9186,1
y,Y,0.5896,0
o,O,0.5358,0
a,a,0.9997,1
y,4,0.5418,0
F,F,0.6287,1
B,B,0.989,1
N,N,0.9865,1
e,e,1.0,1
D,D,0.9969,1
x,x,0.6656,1
E,E,0.9858,1
u,U,0.5764,0
i,I,0.4622,0
q,q,0.8966,1
d,d,0.9999,1
x,x,0.6538,1
Y,4,0.8652,0
V,V,0.5586,1
l,1,0.7408,0
B,B,0.9992,1
m,M,0.6957,0
u,U,0.6987,0
s,S,0.8547,0
f,F,0.6903,0
B,B,0.9994,1
U,U,0.8511,1
E,E,0.6828,1
9,9,0.9372,1
P,P,0.8242,1
J,J,0.8347,1
9,9,0.9668,1
P,P,0.6034,1
A,A,0.9864,1
6,6,1.0,1
m,M,0.7096,0
o,0,0.7216,0
O,0,0.6281,0
E,E,0.9983,1
o,0,0.6429,0
w,w,0.4832,1
S,S,0.7858,1
S,S,0.8343,1
9,9,0.9678,1
y,Y,0.5807,0
W,w,0.7309,0
o,O,0.7229,0
V,V,0.56,1
x,x,0.7639,1
P,P,0.973,1
q,q,0.707,1
h,h,0.9998,1
e,e,0.9999,1
L,L,0.9863,1
v,v,0.5565,1
b,b,0.9637,1
G,G,0.9721,1
Q,Q,0.9982,1
T,T,0.9896,1
F,F,0.9818,1
z,Z,0.9126,0
8,8,0.9988,1
l,I,0.4361,0
5,5,0.9999,1
M,M,0.567,1
G,G,0.9978,1
H,H,0.6682,1
0,0,0.5495,1
V,V,0.7194,1
Z,2,0.7115,0
v,V,0.6161,0
a,a,0.6453,1
G,G,0.9944,1
o,0,0.4801,0
2,2,0.9997,1
w,w,0.7854,1
Z,z,0.5335,0
r,r,0.9695,1
q,9,0.8511,0
F,F,0.8538,1
F,F,0.8595,1
p,P,0.658,0
X,T,0.2534,0
I,1,0.4981,0
b,b,0.8927,1
Y,Y,0.9903,1
j,j,0.6743,1
R,R,0.8795,1
D,D,0.568,1
j,j,0.99,1
E,E,0.9963,1
g,g,0.9275,1
J,J,0.9732,1
D,D,0.967,1
u,U,0.6663,0
r,r,0.9997,1
t,t,0.8082,1
1,1,0.6039,1
9,9,0.987,1
3,3,1.0,1
O,0,0.6328,0
5,5,0.9528,1
Q,Q,0.9964,1
b,b,0.9989,1
Z,Z,0.9113,1
7,7,1.0,1
d,d,1.0,1
t,t,0.9999,1
d,d,1.0,1
w,w,0.7328,1
G,G,0.9968,1
b,b,0.7376,1
S,S,0.9032,1
P,P,0.7202,1
S,S,0.9145,1
B,B,0.9985,1
9,9,0.9581,1
x,x,0.7149,1
Y,F,0.3123,0
O,0,0.8646,0
8,8,0.9999,1
d,d,1.0,1
2,2,0.9999,1
S,S,0.8122,1
C,C,0.7561,1
e,e,0.9999,1
m,M,0.6963,0
t,t,0.9994,1
b,b,0.8265,1
W,W,0.9891,1
U,U,0.4999,1
a,a,0.9954,1
I,1,0.6827,0
l,1,0.7619,0
l,1,0.6948,0
j,U,0.8055,0
g,9,0.9311,0
f,F,0.932,0
I,I,0.5946,1
L,L,0.9945,1
8,8,0.9998,1
0,O,0.8196,0
8,8,0.982,1
w,W,0.8471,0
y,y,0.396,1
W,W,0.9284,1
q,9,0.7003,0
t,t,1.0,1
q,9,0.9686,0
k,k,0.5635,1
3,3,1.0,1
o,0,0.6067,0
r,r,0.9962,1
D,D,0.9955,1
T,T,0.9992,1
s,S,0.9002,0
r,r,0.9989,1
K,K,0.6662,1
8,8,1.0,1
6,6,0.9995,1
q,9,0.9075,0
x,X,0.8555,0
h,h,0.9999,1
T,T,0.9992,1
3,3,1.0,1
i,1,0.5464,0
Y,4,0.6915,0
u,U,0.7417,0
f,F,0.5977,0
h,h,0.9995,1
W,W,0.9824,1
l,l,0.3519,1
v,V,0.5828,0
x,4,0.5069,0
a,a,0.9496,1
6,6,0.9988,1
z,2,0.4015,0
Y,Y,0.7917,1
x,x,0.6702,1
r,r,0.9995,1
K,K,0.6881,1
J,J,0.9446,1
O,O,0.8467,1
p,P,0.7384,0
B,B,0.9364,1
e,e,0.9995,1
t,t,1.0,1
X,X,0.6008,1
5,5,0.9929,1
u,U,0.6977,0
v,r,0.5594,0
Z,2,0.7834,0
H,H,0.9828,1
b,b,0.887,1
2,2,1.0,1
j,J,0.9781,0
t,t,0.999,1
E,E,0.9877,1
i,i,0.9776,1
m,M,0.7723,0
G,G,0.9994,1
y,Y,0.5283,0
9,9,0.9442,1
T,T,0.9975,1
W,W,0.9217,1
y,4,0.3315,0
U,U,0.8687,1
Q,a,0.6708,0
J,J,0.563,1
l,1,0.8144,0
e,e,1.0,1
p,P,0.9021,0
u,u,0.5019,1
N,N,0.991,1
Q,Q,0.9561,1
y,4,0.9967,0
E,E,0.9987,1
P,P,0.8824,1
d,d,0.9996,1
G,G,0.7944,1
u,U,0.7454,0
n,n,0.9998,1
Q,Q,0.998,1
O,0,0.5834,0
B,B,0.9999,1
m,M,0.6799,0
r,r,0.4835,1
Z,Z,0.5195,1
R,R,0.9581,1
a,a,0.9778,1
Q,a,0.6774,0
x,x,0.5727,1
o,O,0.6698,0
R,R,0.9956,1
W,W,0.8658,1
0,0,0.7671,1
O,0,0.5208,0
B,O,0.303,0
8,8,0.9981,1
b,b,0.9983,1
G,G,0.9963,1
o,O,0.8727,0
m,M,0.7435,0
e,e,0.9998,1
p,p,0.7005,1
K,K,0.6371,1
K,K,0.5733,1
T,T,0.7506,1
y,Y,0.39,0
d,d,0.6892,1
O,O,0.7818,1
Y,Y,0.7741,1
M,M,0.6733,1
Z,z,0.6435,0
D,D,0.9936,1
5,5,0.9925,1
B,B,0.995,1
e,e,0.9997,1
L,L,0.9859,1
O,O,0.8688,1
M,M,0.9686,1
B,B,0.9839,1
w,w,0.5642,1
V,v,0.5281,0
u,U,0.8732,0
D,D,0.9922,1
g,9,0.4707,0
k,k,0.9616,1
J,J,0.5552,1
j,i,0.6153,0
6,6,0.998,1
V,v,0.6139,0
X,x,0.7745,0
N,N,0.9848,1
1,I,0.3842,0
V,V,0.8237,1
Q,Q,1.0,1
m,M,0.8219,0
m,M,0.6917,0
7,7,1.0,1
j,J,0.6606,0
S,S,0.844,1
7,7,1.0,1
2,2,1.0,1
8,8,0.999,1
X,X,0.9446,1
f,F,0.7405,0
j,d,0.5086,0
j,j,0.9118,1
a,a,0.9984,1
Z,z,0.5631,0
F,F,0.9409,1
7,7,0.9998,1
A,A,0.9996,1
8,8,0.9556,1
M,M,0.868,1
T,T,0.9896,1
a,a,0.9952,1
P,P,0.5213,1
0,0,0.7717,1
7,7,0.9997,1
8,8,1.0,1
T,T,0.8662,1
P,P,0.9417,1
V,U,0.7029,0
x,x,0.8912,1
p,P,0.8465,0
w,w,0.5921,1
x,4,0.9772,0
C,C,0.686,1
L,L,0.9791,1
6,6,0.9952,1
6,6,1.0,1
w,W,0.8558,0
K,K,0.7393,1
O,0,0.661,0
o,O,0.7029,0
7,7,0.9999,1
V,V,0.7995,1
s,S,0.903,0
l,1,0.4908,0
t,t,0.8941,1
F,F,0.7753,1
Z,2,0.6075,0
U,U,0.6267,1
j,j,0.9174,1
T,T,0.9858,1
I,1,0.4455,0
e,e,0.9999,1
a,a,0.9999,1
M,M,0.6608,1
p,P,0.5497,0
2,2,0.9953,1
Q,Q,0.9855,1
W,W,0.9259,1
m,M,0.6374,0
o,0,0.6525,0
n,N,0.8502,0
R,R,0.9654,1
6,6,0.9549,1
J,J,0.9941,1
Z,z,0.5371,0
8,8,0.9983,1
4,4,0.9985,1
S,S,0.8669,1
f,F,0.6929,0
6,6,0.9999,1
x,N,0.9479,0
u,U,0.6923,0
B,B,0.9984,1
V,U,0.6299,0
R,R,0.9942,1
i,1,0.6437,0
t,t,0.9981,1
V,V,0.4895,1
z,Z,0.4984,0
J,j,0.6402,0
k,K,0.7851,0
D,D,0.9994,1
O,O,0.6645,1
6,6,0.998,1
W,W,0.9543,1
w,W,0.806,0
B,B,0.9994,1
m,M,0.6764,0
G,G,0.9965,1
1,1,0.7535,1
P,P,0.534,1
E,E,0.9997,1
2,2,0.9866,1
r,r,0.9991,1
k,K,0.5638,0
i,1,0.4325,0
M,M,0.728,1
u,U,0.6969,0
6,6,0.9984,1
3,3,0.9976,1
M,M,0.7729,1
c,C,0.6565,0
k,K,0.7887,0
u,U,0.6781,0
H,H,0.5811,1
I,I,0.9669,1
3,3,0.9998,1
h,h,0.9134,1
7,7,1.0,1
k,K,0.5672,0
R,R,0.995,1
q,9,0.9624,0
Z,Z,0.9155,1
e,e,1.0,1
6,6,0.999,1
E,E,0.994,1
v,v,0.5079,1
0,0,0.7055,1
q,9,0.5234,0
4,4,0.9995,1
c,C,0.6737,0
j,J,0.6058,0
U,U,0.9439,1
V,v,0.5328,0
X,X,0.825,1
7,7,1.0,1
2,2,0.9934,1
r,r,1.0,1
r,r,0.9998,1
6,6,0.9867,1
u,U,0.6734,0
O,0,0.8187,0
I,I,0.5285,1
v,V,0.5168,0
J,3,0.5499,0
k,K,0.7628,0
b,b,0.759,1
X,X,0.7198,1
U,U,0.9364,1
6,6,0.9976,1
W,W,0.9722,1
L,L,0.7728,1
T,T,0.9284,1
K,K,0.6669,1
h,h,0.9998,1
o,0,0.6164,0
F,F,0.4091,1
J,j,0.2472,0
C,C,0.9082,1
g,3,0.504,0
